공원명,공원 시명,공원 구명,공원 도로명 주소,일반이용자(아침),일반이용자(낮),일반이용자(저녁),자전거,현황 일시
광나루 한강공원,서울,강동구,선사로 83-106,2840,33780,25450,28680,2024-02-29 0:00
이촌 한강공원,서울,용산구,이촌로72길 62,5145,47990,37857,74775,2024-02-29 0:00
난지 한강공원,서울,마포구,한강난지로 22,5637,13579,18300,27046,2024-02-29 0:00
반포 한강공원,서울,서초구,신반포로11길 40,20965,102300,146595,175053,2024-02-29 0:00
잠실 한강공원,서울,송파구,한가람로 65,9820,41340,49010,96645,2024-02-29 0:00
망원 한강공원,서울,마포구,마포나루길 467,12510,20520,58457,54670,2024-02-29 0:00
잠원 한강공원,서울,강남구,강남대로 708,29360,29720,7220,46194,2024-02-29 0:00
강서 한강공원,서울,강서구,양천로27길 279-23,3966,15103,4355,66551,2024-02-29 0:00
여의도 한강공원,서울,영등포구,여의동로 280,3150,23920,29360,22350,2024-02-29 0:00
뚝섬 한강공원,서울,광진구,강변북로 2273,13100,167450,187420,63060,2024-02-29 0:00
양화 한강공원,서울,영등포구,노들로 221,11150,33940,32050,60884,2024-02-29 0:00
강서 한강공원,서울,강서구,양천로27길 279-23,3483,13007,4181,34679,2024-01-31 0:00
잠실 한강공원,서울,송파구,한가람로 65,0,0,0,0,2024-01-31 0:00
광나루 한강공원,서울,강동구,선사로 83-106,3110,29720,19080,15974,2024-01-31 0:00
반포 한강공원,서울,서초구,신반포로11길 40,12700,38150,22055,39605,2024-01-31 0:00
잠원 한강공원,서울,강남구,강남대로 708,28270,41670,5731,23573,2024-01-31 0:00
이촌 한강공원,서울,용산구,이촌로72길 62,3605,36805,24360,34045,2024-01-31 0:00
망원 한강공원,서울,마포구,마포나루길 467,14037,23595,60271,59337,2024-01-31 0:00
양화 한강공원,서울,영등포구,노들로 221,6538,34226,35794,64173,2024-01-31 0:00
뚝섬 한강공원,서울,광진구,강변북로 2273,13850,153600,183540,46290,2024-01-31 0:00
잠실 한강공원,서울,송파구,한가람로 65,8100,37620,43260,60055,2024-01-31 0:00
여의도 한강공원,서울,영등포구,여의동로 280,4270,35940,43388,21668,2024-01-31 0:00
난지 한강공원,서울,마포구,한강난지로 22,6964,15679,17540,23012,2024-01-31 0:00
