코스명,강남강북구분,거리,소요시간,코스레벨,상세코스,설명,,,,,
가오천길,강북권,0.21Km,20분,초급,본원정사 인근~국립재활원 인근,강북구 수유동에서 발원하여 우이천으로 합류된 후 중랑천으로 유입되는 하천으로 산책코스로 이용,,,,,
강남서초한강길,강남권,10.17Km,3시간,초급,한강홍수통제소 인근~달빛광장 인근~한강공원잠원지구 인근~성수대교 인근~한양8차아파트 인근구산아파트 인근~청담도로공원 인근,"한국의 중부, 강원도, 충청북도, 경기도, 서울특별시를 거쳐 황해로 유입하는 강을 따라 산책로로 이용",,,,,
강서한강길,강남권,8.91Km,3시간,초급,전호리마을회관 인근~서울도시철도공사방화차량기지 인근~강서습지생태공원 인근~축구장 인근~양천향교 인근~가양역 인근~염창동동아아파트 인근,"공원조성이 잘되있고, 인근 주거지역이 많아 주민들이 산책하는 길로 많이 이용한다",,,,,
고덕천길,강남권,4.18Km,1시간 30분,초급,고덕천교 인근~고덕차량기지 인근~강동고양차고지 인근~고덕주공6단지 인근,주변 아파트단지를 끼고 흐르고 있어 인근 주민들이 산책길로 이용한다,,,,,
굴포천(대두둑천),강남권,9.35Km,2시간30분,초급,개화동버스정류장 인근~굴포천하류 인근~김포공항 인근~굴포천상류 인근~덕산초등학교대장분교장 인근,"인근에 김포공항이 자리하고 있으며, 굴포천과 인접한 대두둑천(대장동수로)도 걸을 수 있다. 주변 부지는 논, 밭으로 사용되고 있다.",,,,,
당현천길,강북권,2.84Km,2시간,초급,상계역 인근~양지마을 대림 2차 아파트 인근~가재울 근린공원 인근~학여울 청구아파트 인근,주변 학교 주거지역과 인접해 있어 접근성이 좋아 인근 주민들이 자주 이용한다,,,,,
대동천길,강북권,0.67Km,30분,초급,선일교통종점 인근~산양로 139길 인근,북한산성 대동문 기슭에서 발원하여 우이천으로 흘러들어가는 개울로 동네주민들의 산책로로 이용,,,,,
도림천길,강남권,10.56Km,3시간30분,초급,박정희 대통령 흉상 인근~영남중학교 인근~구로디지털단지역 인근~보라매공원 인근~신림역 인근~장군봉근린공원 인근~청룡산 인근,주변에 많은 볼거리와 접근성이 좋아 인근 주민들이 산책로로 사용한다.,,,,,
도봉천길,강북권,2.78Km,1시간,초급,무궁화제작소 인근~도봉로171길 인근~럭키아파트 인근~형진빌라 인근~도봉로177길 인근~성균관대도봉선수촌 인근,도봉산에서 발원하여 도봉동에서 중랑천으로 합류하는 하천으로 다양한 행사와 공연이 펼쳐짐,,,,,
독정천,강남권,2.48Km,1시간,초급,가든파이브(탄천) 인근~성모자애복지관 인근~서울자원 인근~독정천끝 인근,탄천과 이어지는 길로 사람들이 산책길로 많이 이용하고 있다,,,,,
